I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-9, -87, -78, 48, 34, -82, 53, 97, -824, -429, -317, -63, 
-19, -141, -122, 80, 51, -131, 82, 204, -766, -434, -336, -92, 
-14, -151, -136, 82, 61, -143, 82, 322, -629, -424, -351, -102, 
92, -34, -126, -29, 109, -80, 53, 556, -283, -297, -283, -58, 
239, 229, -9, -234, 124, 109, -24, 844, 78, -107, -112, 87, 
341, 556, 214, -448, 63, 385, -161, 1005, 297, 73, 82, 278, 
405, 741, 336, -573, 34, 539, -317, 775, 214, 87, 146, 370, 
414, 844, 429, -629, -7, 636, -405, 200, -170, 78, 165, 419, 
331, 863, 531, -597, -100, 697, -439, -419, -751, 24, 170, 448, 
239, 824, 585, -531, -173, 705, -439, -668, -1039, -87, 151, 453, 
92, 673, 580, -383, -244, 627, -302, -570, -1068, -165, 82, 400, 
-9, 346, 356, -168, -183, 351, -92, -468, -1078, -283, -97, 204, 
-29, 126, 156, -48, -92, 141, 0, -370, -1083, -366, -209, 68, 
-68, 68, 136, 0, -102, 102, 24, -278, -1088, -414, -224, 43, 
-102, -9, 92, 56, -97, 41, 48, -244, -1083, -473, -268, 14, 
-102, -82, 19, 92, -61, -31, 73, -244, -1058, -488, -331, -43, 
-82, -107, -24, 95, -29, -65, 78, -234, -1049, -497, -346, -73, 
-82, -102, -19, 92, -31, -61, 63, -204, -1044, -502, -346, -63, 
-78, -92, -14, 85, -31, -53, 43, -170, -1029, -502, -351, -53, 
-53, -82, -29, 68, -12, -56, 34, -126, -995, -488, -341, -43, 
-29, -53, -24, 41, -2, -39, 14, -92, -956, -483, -336, -43, 
-9, -24, -14, 17, 2, -19, 0, -63, -946, -468, -322, -39, 
0, -19, -19, 9, 9, -19, -9, -53, -946, -468, -322, -39, 
4, -19, -24, 7, 14, -21, -9, -43, -932, -468, -322, -34, 
4, -19, -24, 7, 14, -21, -9, -39, -932, -473, -322, -34, 
9, -19, -29, 4, 19, -24, -9, -34, -932, -473, -317, -34, 
9, -14, -24, 2, 17, -19, -9, -29, -936, -478, -317, -39, 
9, -14, -24, 2, 17, -19, -9, -24, -941, -478, -312, -39, 
9, -14, -24, 2, 17, -19, -9, -19, -946, -478, -307, -39, 
9, -14, -24, 2, 17, -19, -9, -19, -946, -483, -312, -34, 
9, -14, -24, 2, 17, -19, -9, -19, -946, -488, -312, -34, 
9, -14, -24, 2, 17, -19, -9, -24, -956, -488, -312, -34, 
9, -14, -24, 2, 17, -19, -14, -29, -961, -497, -312, -34, 
9, -14, -24, 2, 17, -19, -14, -24, -966, -507, -312, -34, 
9, -14, -24, 2, 17, -19, -14, -24, -971, -512, -317, -39, 
9, -14, -24, 2, 17, -19, -14, -24, -976, -512, -317, -39, 
9, -14, -24, 2, 17, -19, -14, -24, -985, -517, -322, -39, 
9, -14, -24, 2, 17, -19, -14, -24, -985, -522, -322, -39, 
4, -14, -19, 4, 12, -17, -14, -29, -995, -527, -322, -39, 
4, -14, -19, 4, 12, -17, -14, -29, -1000, -527, -322, -39, 
0, -14, -14, 7, 7, -14, -9, -34, -1015, -531, -322, -39, 
0, -14, -14, 7, 7, -14, -9, -34, -1015, -536, -322, -34, 
0, -14, -14, 7, 7, -14, -4, -39, -1019, -541, -322, -34, 
0, -14, -14, 7, 7, -14, 0, -34, -1024, -541, -326, -34, 
-9, -14, -4, 12, -2, -9, 4, -39, -1039, -546, -326, -34, 
-9, -14, -4, 12, -2, -9, 4, -43, -1044, -546, -326, -34, 
-9, -19, -9, 14, 0, -14, 4, -48, -1058, -551, -331, -34, 
-9, -19, -9, 14, 0, -14, 4, -48, -1073, -556, -331, -34, 
-19, -29, -9, 24, -4, -19, 4, -58, -1093, -561, -336, -34, 
-19, -29, -9, 24, -4, -19, 9, -63, -1107, -566, -336, -34, 
-24, -34, -9, 29, -7, -21, 9, -73, -1132, -570, -351, -34, 
-29, -39, -9, 34, -9, -24, 4, -82, -1141, -575, -351, -34, 
-34, -43, -9, 39, -12, -26, 4, -92, -1166, -585, -356, -39, 
-39, -48, -9, 43, -14, -29, 24, -97, -1185, -605, -361, -39, 
-48, -53, -4, 51, -21, -29, 24, -112, -1200, -619, -361, -43, 
-48, -58, -9, 53, -19, -34, 29, -126, -1215, -619, -366, -39, 
-48, -58, -9, 53, -19, -34, 34, -136, -1229, -624, -366, -34, 
-48, -58, -9, 53, -19, -34, 34, -136, -1234, -624, -370, -34, 
-48, -58, -9, 53, -19, -34, 34, -136, -1239, -629, -385, -34, 
-48, -58, -9, 53, -19, -34, 39, -136, -1244, -634, -375, -34, 
-48, -58, -9, 53, -19, -34, 39, -141, -1249, -639, -375, -34, 
-48, -48, 0, 48, -24, -24, 39, -141, -1254, -634, -370, -29, 
-39, -43, -4, 41, -17, -24, 29, -136, -1254, -634, -370, -29, 
-34, -39, -4, 36, -14, -21, 29, -122, -1239, -624, -356, -19, 
-29, -24, 4, 26, -17, -9, 34, -107, -1220, -629, -356, -19, 
-24, -19, 4, 21, -14, -7, 9, -102, -1195, -619, -351, -19, 
-9, -9, 0, 9, -4, -4, 9, -87, -1190, -614, -346, -19, 
0, 0, 0, 0, 0, 0, 4, -73, -1161, -610, -341, -14, 
9, 0, -9, -4, 9, -4, 0, -58, -1141, -610, -341, -14, 
9, 9, 0, -9, 4, 4, 0, -39, -1127, -595, -336, -4, 
9, 14, 4, -12, 2, 9, -4, -19, -1112, -595, -331, 0, 
19, 29, 9, -24, 4, 19, -4, 4, -1088, -585, -326, 0, 
24, 34, 9, -29, 7, 21, -9, 14, -1073, -580, -322, 0, 
24, 34, 9, -29, 7, 21, -9, 34, -1063, -580, -317, 4, 
24, 34, 9, -29, 7, 21, -14, 39, -1058, -580, -317, 4, 
24, 34, 9, -29, 7, 21, -14, 43, -1049, -580, -307, 4, 
19, 29, 9, -24, 4, 19, -14, 48, -1044, -585, -317, 4, 
24, 34, 9, -29, 7, 21, -14, 58, -1034, -580, -317, 9, 
24, 34, 9, -29, 7, 21, -14, 63, -1034, -580, -317, 9, 
24, 34, 9, -29, 7, 21, -14, 68, -1029, -580, -312, 9, 
24, 34, 9, -29, 7, 21, -14, 73, -1034, -580, -312, 4, 
19, 34, 14, -26, 2, 24, -14, 73, -1029, -575, -312, 4, 
