I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-29, -29, 0, 29, -14, -14, -9, -39, -39, -29, -19, -9, 
-29, -29, 0, 29, -14, -14, -9, -39, -39, -29, -19, -9, 
-29, -29, 0, 29, -14, -14, -9, -39, -39, -29, -19, -9, 
-29, -34, -4, 31, -12, -19, -9, -39, -34, -29, -19, -14, 
-29, -39, -9, 34, -9, -24, -9, -39, -29, -29, -19, -19, 
-34, -39, -4, 36, -14, -21, -9, -39, -29, -24, -19, -19, 
-39, -39, 0, 39, -19, -19, -9, -39, -29, -19, -19, -19, 
-39, -34, 4, 36, -21, -14, -9, -39, -29, -19, -19, -19, 
-39, -29, 9, 34, -24, -9, -9, -39, -29, -19, -19, -19, 
-39, -29, 9, 34, -24, -9, -9, -39, -29, -19, -19, -14, 
-39, -29, 9, 34, -24, -9, -9, -39, -29, -19, -19, -9, 
